E11-143 America,,,,,
,,,,"E431-435 Pierce's administration, 1853-1857",
,,,,,"E433 Slavery question, 1853-1857"
,,,,"E436-440.5 Buchanan's administration, 1857-1861",
,,,,,"E438 Slavery question, 1857-1861"
,,,,,"E440.5 State of the country, November 1860-March 4, 1861"
,,E441-453 Slavery in the United States. Antislavery movements,,,
,"E456-655 Civil War period, 1861-1865",,,,
,,"E456-459 Lincoln's administrations, 1861-April 15, 1865",,,
,,"E461-655 The Civil War, 1861-1865",,,
,,E482-489 Confederate States of America,,,
,,E491-586 Armies. Troops,,,
,,E591-600 Naval history,,,
,"E660-738 Late nineteenth century, 1865-1900",,,,
,,E660-664 General,,,
,,,E660 Collected works of American statesmen,,
,,,E661.7 Diplomatic history. Foreign and general relations,,
,,,E663-664 Biography,,
,,"E666-670 Andrew Johnson's administration, April 15, 1865-1869",,,
,,,"E668 Reconstruction, 1865-1877",,
,,,"E669 Purchase of Alaska, 1867",,
,,"E671-680 Grant's administrations, 1869-1877",,,
,,"E681-685 Hayes' administration, 1877-1881",,,
,,"E686-687.9 Garfield's administration, March 4-September 19, 1881",,,
,,"E691-695 Arthur's administration, September 19, 1881-1885",,,
,,"E696-700 Cleveland's first administration, 1885-1889",,,
,,"E701-705 Benjamin Harrison's administration, 1889-1893",,,
,,"E706-710 Cleveland's second administration, 1893-1897",,,
,,"E711-738 McKinley's first administration, 1897-1901",,,
,,,"E713 Annexation in 1898 of Hawaii, the Philippines, and Puerto Rico",,
,,,E714-735 War of 1898 (Spanish-American War),,
,E740-837.7 Twentieth century,,,,
,,E740-749 General,,,
,,,E740.5 Sources and documents,,
,,,E742.5 Collected works of American statesmen,,
,,,E743-743.5 Political history,,
,,,,E743.5 Un-American activities,
,,,E744-744.5 Diplomatic history. Foreign and general relations,,
,,,E745 Military history,,
,,,E746 Naval history,,
,,,E747-748 Biography,,
,,"E751 McKinley's second administration, March 4-September 14, 1901",,,
,,"E756-760 Theodore Roosevelt's administrations, September 14, 1901-1909",,,
,,"E761-765 Taft's administration, 1909-1913",,,
,,"E766-783 Wilson's administrations, 1913-1921",,,
,,,"E768 Purchase of Danish West Indies (Virgin Islands), 1917",,
,,,E780 Internal history during World War I,,
,,"E784-805 1919-1933. Harding-Coolidge-Hoover era. ""The twenties""",,,
,,,"E785-786 Harding's administration, 1921-August 2, 1923",,
,,,"E791-796 Coolidge's administration, August 2, 1923-1929",,
,,,"E801-805 Hoover's administration, 1919-1933",,
,,"E806-812 Franklin Delano Roosevelt's administrations, 1933-April 12, 1945",,,
,,"E813-816 Truman's administrations, April 12, 1945-1953",,,
,,"E835-837.7 Eisenhower's administrations, 1953-1961",,,
,"E838-889 Later twentieth century, 1961-2000",,,,
,,E838-840.8 General,,,
,,,E838.3 Sources and documents,,
,,,E839.5-839.8 Political history,,
,,,,E839.8 Un-American activities,
,,,E840-840.2 Diplomatic history. Foreign and general relations,,
,,,E840.6-840.8 Biography (General),,
,,"E841-843 Kennedy's administration, 1961-November 22, 1963",,,
,,,"E842.9 Assassination, funeral, memorial services, etc.",,
,,"E846-851 Johnson's administrations, November 22, 1963-1969",,,
,,"E855-861 Nixon's administrations, 1969-August 9, 1974",,,
,,,"E855-861 Nixon's administrations, 1969-August 9, 1974",,
,,"E865-868 Ford's administration, August 9, 1974-1977",,,
,,"E872-875 Carter's administration, 1977-1981",,,
,,"E876-880 Reagan's administrations, 1981-1989",,,
,,,E877.3 Assassination attempt,,
,,"E881-884 George H. W. Bush's administration, 1989-1993",,,
,,"E885-889 Clinton's administrations, 1993-2001",,,
,E895-909 Twenty-first century,,,,
,,"E902-904 George W. Bush's administrations, 2001-2009",,,
,,"E907-909 Barack Obama’s administration, 2009",,,
